지점명,일시,평균기온(°C),평균최고기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),연,월이름,월,계절,계절_index
서울,1936-12-01,-0.5,3.6,65,67.8,2.4,1936,12월,12,겨울,4
서울,1937-01-01,-3.6,0.7,59,15.7,2.3,1937,1월,1,겨울,4
서울,1937-02-01,0.1,4.4,66,36.3,2.7,1937,2월,2,겨울,4
서울,1937-03-01,3.6,8.7,58,36.6,3.4,1937,3월,3,봄,1
서울,1937-04-01,10.6,16.6,62,150.8,3.5,1937,4월,4,봄,1
서울,1937-05-01,15.8,22.2,67,70.2,3.3,1937,5월,5,봄,1
서울,1937-06-01,21.6,28,66,74.4,2.6,1937,6월,6,여름,2
서울,1937-07-01,24.6,29.8,81,248.8,2.3,1937,7월,7,여름,2
서울,1937-08-01,26.7,32,80,158.9,2.3,1937,8월,8,여름,2
서울,1937-09-01,20.3,26.4,74,183,2.2,1937,9월,9,가을,3
서울,1937-10-01,13.8,20.1,70,45.9,2,1937,10월,10,가을,3
서울,1937-11-01,7.2,12.2,69,20.2,2.2,1937,11월,11,가을,3
서울,1937-12-01,-3.9,0.7,63,21.9,2.4,1937,12월,12,겨울,4
서울,1938-01-01,-6.3,-1.5,60,14.2,2.7,1938,1월,1,겨울,4
서울,1938-02-01,-3.3,1.4,56,22.7,3.2,1938,2월,2,겨울,4
서울,1938-03-01,4.7,9.4,73,95.8,2.8,1938,3월,3,봄,1
서울,1938-04-01,11.4,17.6,59,6.1,3.6,1938,4월,4,봄,1
서울,1938-05-01,16.5,21.9,74,131.7,3.1,1938,5월,5,봄,1
서울,1938-06-01,20,25.4,76,111.6,2.7,1938,6월,6,여름,2
서울,1938-07-01,25.2,30.3,84,198.4,2.5,1938,7월,7,여름,2
서울,1938-08-01,26.3,31.9,77,202.8,2.4,1938,8월,8,여름,2
서울,1938-09-01,19.3,25.8,70,129,2.3,1938,9월,9,가을,3
서울,1938-10-01,15,20.9,72,98.7,2.1,1938,10월,10,가을,3
서울,1938-11-01,4.8,10.4,66,22.5,2.1,1938,11월,11,가을,3
서울,1938-12-01,-2.3,1.7,61,25.3,2.3,1938,12월,12,겨울,4
서울,1939-01-01,-5.2,-0.8,64,12.3,2.6,1939,1월,1,겨울,4
서울,1939-02-01,-2,3.4,62,7.4,2.5,1939,2월,2,겨울,4
서울,1939-03-01,4.1,9.1,65,20.5,3.3,1939,3월,3,봄,1
